epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
97,8451.6,0.92516,0.36827,0.00384,0.95448,0.95121,0.97568,0.8065,0.87143,0.35867,0.00387,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,8536.79,0.92348,0.36539,0.00384,0.95778,0.94899,0.97568,0.80818,0.86947,0.35266,0.00386,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,8626.15,0.91974,0.36772,0.0038,0.9537,0.95329,0.97555,0.80737,0.86618,0.35363,0.00386,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,8711.42,0.91466,0.36159,0.00377,0.95621,0.95331,0.97578,0.8096,0.86552,0.3555,0.00387,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,8794.85,0.91459,0.36499,0.00378,0.95854,0.94638,0.97522,0.81005,0.8644,0.35857,0.00383,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,8878.25,0.9144,0.3599,0.00377,0.96082,0.94546,0.97418,0.80992,0.86,0.35699,0.00382,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,8966.78,0.91045,0.35699,0.00374,0.95152,0.94849,0.97536,0.8124,0.85844,0.35656,0.00381,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,9052.7,0.90519,0.35408,0.00372,0.95825,0.94155,0.97548,0.8137,0.85552,0.35463,0.0038,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,9138.3,0.90247,0.35648,0.00372,0.96195,0.94788,0.97584,0.81501,0.85368,0.34867,0.00379,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,9223.52,0.90728,0.35294,0.00374,0.95222,0.95719,0.97576,0.81487,0.8529,0.34736,0.00378,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,9311.58,0.90505,0.35768,0.00373,0.95994,0.94844,0.97591,0.81629,0.84986,0.35033,0.00376,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,9398.75,0.89953,0.35264,0.00369,0.96629,0.94494,0.97566,0.81592,0.84784,0.34947,0.00373,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,9483.68,0.90123,0.34767,0.0037,0.95787,0.94954,0.9756,0.81682,0.84708,0.34853,0.00373,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,9568.3,0.89432,0.34756,0.00367,0.95232,0.95309,0.9752,0.81609,0.84709,0.34874,0.00373,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,9654.3,0.89113,0.34396,0.00366,0.95451,0.95045,0.97535,0.81707,0.84585,0.34953,0.00371,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,9741.47,0.88202,0.34032,0.00359,0.95614,0.95157,0.9755,0.81662,0.84361,0.34924,0.0037,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,9826.91,0.88229,0.34639,0.00366,0.95834,0.94927,0.97537,0.81683,0.84415,0.34757,0.0037,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,9911.71,0.88294,0.34543,0.0036,0.96094,0.94945,0.97597,0.81807,0.84429,0.34578,0.0037,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,9997.04,0.88382,0.34885,0.0036,0.95741,0.94591,0.97563,0.81792,0.84404,0.35013,0.00368,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,10086,0.87466,0.34351,0.00358,0.95649,0.95221,0.97634,0.81782,0.84335,0.34915,0.00368,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,10169.5,0.87604,0.34615,0.00355,0.95556,0.95275,0.9761,0.81786,0.84096,0.34941,0.00367,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,10254.7,0.87078,0.34087,0.00355,0.95753,0.95238,0.97574,0.81857,0.8404,0.34714,0.00367,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,10340.2,0.87405,0.34653,0.00353,0.95878,0.95238,0.97659,0.81941,0.83858,0.34561,0.00367,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,10429.3,0.87295,0.34614,0.00354,0.95644,0.95188,0.97668,0.81912,0.83743,0.3475,0.00366,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,10513.8,0.86942,0.34033,0.0035,0.95367,0.95301,0.97711,0.81903,0.83701,0.3477,0.00367,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,10598.1,0.85839,0.33434,0.00345,0.95594,0.95038,0.97716,0.81923,0.83477,0.34776,0.00366,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,10682.8,0.86724,0.34175,0.00347,0.95632,0.95096,0.97698,0.82076,0.83323,0.34921,0.00365,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,10770.4,0.86039,0.33564,0.0035,0.95465,0.95017,0.97661,0.82116,0.83118,0.35121,0.00364,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,10856,0.85563,0.32862,0.00345,0.95483,0.95049,0.97633,0.82155,0.83052,0.35137,0.00364,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,10940.8,0.85425,0.32988,0.00343,0.95787,0.94859,0.9759,0.82241,0.8293,0.34926,0.00363,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,11025.9,0.84927,0.32735,0.00343,0.95399,0.94975,0.97513,0.82158,0.8275,0.34755,0.00362,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,11114.4,0.84643,0.33002,0.00339,0.95386,0.94957,0.97515,0.82109,0.82669,0.3484,0.00361,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,11202.1,0.85079,0.33068,0.0034,0.95769,0.94995,0.97505,0.82156,0.82616,0.34903,0.00359,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,11286.7,0.84499,0.32893,0.00337,0.95979,0.94946,0.97497,0.82183,0.82602,0.34744,0.00359,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,11372.6,0.84597,0.33311,0.00336,0.96144,0.95021,0.97465,0.82157,0.82491,0.34459,0.00359,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,11458.8,0.83877,0.32677,0.00337,0.95497,0.95081,0.97488,0.82208,0.82368,0.34597,0.00358,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,11546.6,0.8412,0.32465,0.00335,0.9565,0.94922,0.97488,0.82307,0.82314,0.34513,0.00358,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,11631.3,0.83805,0.32255,0.00334,0.95526,0.94968,0.97454,0.82237,0.82128,0.34485,0.00357,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,11716.4,0.83413,0.32379,0.00333,0.95595,0.94832,0.9742,0.82071,0.82071,0.34589,0.00357,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,11801.7,0.83216,0.32571,0.00329,0.95544,0.94941,0.97373,0.82111,0.81946,0.34384,0.00357,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,11889.8,0.83047,0.32564,0.0033,0.95282,0.95139,0.97344,0.82093,0.81832,0.34508,0.00356,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,11973.8,0.82622,0.32784,0.00326,0.95582,0.94939,0.97332,0.82092,0.81804,0.34449,0.00356,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
