epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
124,1927.4,0.74658,0.28378,0.00298,0.94088,0.91623,0.94583,0.74845,1.0499,0.54657,0.00488,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,1977.77,0.74264,0.28471,0.00292,0.941,0.92051,0.94749,0.75319,1.04549,0.54419,0.00483,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,2027.73,0.74389,0.28258,0.00297,0.95163,0.90914,0.94851,0.74917,1.04248,0.54154,0.00481,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,2077.34,0.7355,0.28411,0.00296,0.95031,0.90711,0.94737,0.74649,1.0422,0.55008,0.00481,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,2127.35,0.73578,0.28256,0.0029,0.94784,0.908,0.94589,0.74908,1.04128,0.54726,0.00479,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,2177.35,0.73298,0.28504,0.0029,0.95291,0.9112,0.94845,0.75365,1.03895,0.54119,0.0048,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,2228.93,0.73149,0.28256,0.00287,0.9476,0.91862,0.94517,0.74526,1.04411,0.5422,0.0048,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,2281.21,0.7307,0.27812,0.00287,0.95289,0.90389,0.94653,0.7502,1.04358,0.54365,0.00477,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,2331.84,0.7262,0.27426,0.00282,0.95078,0.90468,0.94856,0.75312,1.04089,0.54734,0.00475,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,2381.62,0.72157,0.27369,0.00285,0.95076,0.91307,0.94688,0.75549,1.03967,0.5471,0.00475,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,2431.2,0.72826,0.2772,0.00287,0.95092,0.90393,0.94671,0.75391,1.04553,0.54207,0.00478,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,2481.55,0.71749,0.27566,0.00279,0.95762,0.89991,0.94688,0.75374,1.04471,0.55088,0.00478,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,2531.39,0.72095,0.2724,0.00285,0.94547,0.91187,0.9474,0.75292,1.0468,0.55226,0.00477,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,2582.53,0.71459,0.27074,0.00282,0.94443,0.91188,0.94514,0.75336,1.04727,0.55178,0.0048,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
